,Equity Name,Trade,Entry Time,Entry Price,Exit Time,Exit Price,Quantity,Position Size,PNL,% PNL,Exit Type,Holding Period
0,AAPL,Long Closed,1981-01-14,0.14,1981-02-04,0.13,365713.0,49999.917,-3657.13,-7.314,Exit Trigger,21 days
1,AAPL,Long Closed,1981-04-14,0.12,1981-07-08,0.12,401793.0,49999.926,0.0,0.0,Exit Trigger,85 days
2,AAPL,Long Closed,1981-10-30,0.09,1981-12-14,0.08,559998.0,49999.981,-5599.98,-11.2,Exit Trigger,45 days
3,AAPL,Long Closed,1981-12-21,0.1,1982-02-02,0.09,509092.0,49999.962,-5090.92,-10.182,Exit Trigger,43 days
4,AAPL,Long Closed,1982-08-06,0.06,1983-01-07,0.13,905042.0,49999.95,63352.94,126.706,Exit Trigger,154 days
5,AAPL,Long Closed,1983-01-19,0.15,1983-04-04,0.19,335579.0,49999.927,13423.16,26.846,Exit Trigger,75 days
6,AAPL,Long Closed,1983-04-27,0.22,1983-07-06,0.21,224000.0,49999.936,-2240.0,-4.48,Exit Trigger,70 days
7,AAPL,Long Closed,1983-12-15,0.1,1984-02-21,0.11,479142.0,49999.907,4791.42,9.583,Exit Trigger,68 days
8,AAPL,Long Closed,1984-03-15,0.12,1984-04-10,0.11,420655.0,49999.896,-4206.55,-8.413,Exit Trigger,26 days
9,AAPL,Long Closed,1984-05-01,0.14,1984-06-20,0.13,352756.0,49999.986,-3527.56,-7.055,Exit Trigger,50 days
10,AAPL,Long Closed,1984-08-17,0.13,1984-09-24,0.12,398222.0,49999.959,-3982.22,-7.964,Exit Trigger,38 days
11,AAPL,Long Closed,1984-12-14,0.11,1985-02-27,0.12,434952.0,49999.907,4349.52,8.699,Exit Trigger,75 days
12,AAPL,Long Closed,1985-07-24,0.07,1985-07-29,0.07,678785.0,49999.982,0.0,0.0,Exit Trigger,5 days
13,AAPL,Long Closed,1985-07-31,0.07,1985-08-07,0.07,689227.0,49999.972,0.0,0.0,Exit Trigger,7 days
14,AAPL,Long Closed,1985-09-30,0.07,1986-07-14,0.17,705507.0,49999.989,70550.7,141.101,Exit Trigger,287 days
15,AAPL,Long Closed,1986-08-29,0.17,1986-10-06,0.15,297673.0,49999.837,-5953.46,-11.907,Exit Trigger,38 days
16,AAPL,Long Closed,1986-11-11,0.16,1987-10-23,0.32,315493.0,49999.962,50478.88,100.958,Exit Trigger,346 days
17,AAPL,Long Closed,1987-12-29,0.36,1988-02-18,0.37,138271.0,49999.759,1382.71,2.765,Exit Trigger,51 days
18,AAPL,Long Closed,1988-03-07,0.42,1988-04-11,0.37,119786.0,49999.994,-5989.3,-11.979,Exit Trigger,35 days
19,AAPL,Long Closed,1988-06-09,0.4,1988-08-05,0.4,124444.0,49999.857,0.0,0.0,Exit Trigger,57 days
20,AAPL,Long Closed,1988-10-05,0.37,1988-10-21,0.37,135757.0,49999.848,0.0,0.0,Exit Trigger,16 days
21,AAPL,Long Closed,1988-12-22,0.37,1989-02-09,0.34,134131.0,49999.747,-4023.93,-8.048,Exit Trigger,49 days
22,AAPL,Long Closed,1989-04-20,0.36,1989-07-07,0.37,137423.0,49999.847,1374.23,2.748,Exit Trigger,78 days
23,AAPL,Long Closed,1989-08-24,0.39,1989-11-16,0.4,128000.0,50000.0,1280.0,2.56,Exit Trigger,84 days
24,AAPL,Long Closed,1990-03-15,0.33,1990-05-17,0.37,153424.0,49999.81,6136.96,12.274,Exit Trigger,63 days
25,AAPL,Long Closed,1990-05-31,0.37,1990-06-11,0.34,134939.0,49999.757,-4048.17,-8.096,Exit Trigger,11 days
26,AAPL,Long Closed,1990-07-05,0.39,1990-08-13,0.34,128000.0,50000.0,-6400.0,-12.8,Exit Trigger,39 days
27,AAPL,Long Closed,1990-11-14,0.32,1991-05-02,0.43,156643.0,49999.817,17230.73,34.462,Exit Trigger,169 days
28,AAPL,Long Closed,1991-07-29,0.4,1991-10-01,0.44,123756.0,49999.653,4950.24,9.901,Exit Trigger,64 days
29,AAPL,Long Closed,1991-11-01,0.46,1991-12-12,0.44,109268.0,49999.835,-2185.36,-4.371,Exit Trigger,41 days
30,AAPL,Long Closed,1992-01-03,0.54,1992-03-26,0.58,93333.0,49999.792,3733.32,7.467,Exit Trigger,83 days
31,AAPL,Long Closed,1992-05-26,0.53,1992-06-11,0.48,94117.0,49999.656,-4705.85,-9.412,Exit Trigger,16 days
32,AAPL,Long Closed,1992-09-11,0.44,1992-10-12,0.39,114285.0,49999.688,-5714.25,-11.429,Exit Trigger,31 days
33,AAPL,Long Closed,1992-10-28,0.46,1993-02-12,0.49,109268.0,49999.835,3278.04,6.556,Exit Trigger,107 days
34,AAPL,Long Closed,1993-05-19,0.49,1993-06-18,0.37,102283.0,49999.919,-12273.96,-24.548,Exit Trigger,30 days
35,AAPL,Long Closed,1993-10-28,0.28,1993-12-23,0.24,176378.0,49999.986,-7055.12,-14.11,Exit Trigger,56 days
36,AAPL,Long Closed,1994-01-25,0.31,1994-04-06,0.3,161150.0,49999.691,-1611.5,-3.223,Exit Trigger,71 days
37,AAPL,Long Closed,1994-07-28,0.28,1994-12-06,0.33,180644.0,49999.73,9032.2,18.064,Exit Trigger,131 days
38,AAPL,Long Closed,1995-01-12,0.41,1995-03-06,0.35,121409.0,49999.869,-7284.54,-14.569,Exit Trigger,53 days
39,AAPL,Long Closed,1995-05-04,0.34,1995-08-10,0.39,146405.0,49999.945,7320.25,14.641,Exit Trigger,98 days
40,AAPL,Long Closed,1995-11-17,0.36,1995-12-26,0.29,139999.0,49999.665,-9799.93,-19.6,Exit Trigger,39 days
41,AAPL,Long Closed,1996-05-16,0.25,1996-06-17,0.22,198230.0,49999.946,-5946.9,-11.894,Exit Trigger,32 days
42,AAPL,Long Closed,1996-08-15,0.2,1996-10-01,0.2,247513.0,49999.855,0.0,0.0,Exit Trigger,47 days
43,AAPL,Long Closed,1996-10-11,0.22,1996-12-16,0.21,229743.0,49999.89,-2297.43,-4.595,Exit Trigger,66 days
44,AAPL,Long Closed,1997-03-31,0.17,1997-05-16,0.16,300670.0,49999.92,-3006.7,-6.013,Exit Trigger,46 days
45,AAPL,Long Closed,1997-08-04,0.17,1997-10-06,0.2,291856.0,49999.893,8755.68,17.511,Exit Trigger,63 days
46,AAPL,Long Closed,1998-01-23,0.17,1998-06-11,0.25,289032.0,49999.933,23122.56,46.245,Exit Trigger,139 days
47,AAPL,Long Closed,1998-07-08,0.27,1998-09-22,0.33,182113.0,49999.855,10926.78,21.854,Exit Trigger,76 days
48,AAPL,Long Closed,1998-11-05,0.34,1998-11-16,0.32,145928.0,49999.893,-2918.56,-5.837,Exit Trigger,11 days
49,AAPL,Long Closed,1999-01-05,0.37,1999-02-19,0.32,133532.0,49999.991,-6676.6,-13.353,Exit Trigger,45 days
50,AAPL,Long Closed,1999-04-22,0.31,1999-10-19,0.64,159714.0,49999.744,52705.62,105.412,Exit Trigger,180 days
51,AAPL,Long Closed,1999-10-26,0.67,2000-04-28,1.14,74728.0,49999.386,35122.16,70.245,Exit Trigger,185 days
52,AAPL,Long Closed,2000-07-10,0.97,2000-08-14,0.85,51761.0,49999.057,-6211.32,-12.423,Exit Trigger,35 days
53,AAPL,Long Closed,2000-09-06,1.1,2000-10-04,0.4,45621.0,49999.793,-31934.7,-63.87,Exit Trigger,28 days
54,AAPL,Long Closed,2001-01-25,0.37,2001-06-05,0.37,136170.0,49999.991,0.0,0.0,Exit Trigger,131 days
55,AAPL,Long Closed,2001-07-16,0.44,2001-07-31,0.34,112540.0,49999.945,-11254.0,-22.508,Exit Trigger,15 days
56,AAPL,Long Closed,2001-10-30,0.31,2002-05-13,0.42,161104.0,49999.755,17721.44,35.443,Exit Trigger,195 days
57,AAPL,Long Closed,2002-11-01,0.28,2002-12-18,0.26,175658.0,49999.819,-3513.16,-7.026,Exit Trigger,47 days
58,AAPL,Long Closed,2003-02-25,0.26,2003-04-04,0.26,190735.0,49999.842,0.0,0.0,Exit Trigger,38 days
59,AAPL,Long Closed,2003-05-12,0.32,2003-11-20,0.36,154270.0,49999.986,6170.8,12.342,Exit Trigger,192 days
