,Equity Name,Trade,Entry Time,Entry Price,Exit Time,Exit Price,Quantity,Position Size,PNL,% PNL,Exit Type,Holding Period
0,TSLA,Long Closed,2010-08-06,1.34,2010-08-23,1.27,37313.0,49999.421,-2611.91,-5.224,Exit Trigger,17 days
1,TSLA,Long Closed,2010-09-13,1.39,2011-01-10,1.88,35902.0,49999.533,17591.98,35.184,Exit Trigger,119 days
2,TSLA,Long Closed,2011-04-01,1.83,2011-08-05,1.67,27322.0,49999.261,-4371.52,-8.743,Exit Trigger,126 days
3,TSLA,Long Closed,2011-10-07,1.8,2011-12-28,1.93,27798.0,49999.344,3613.74,7.228,Exit Trigger,82 days
4,TSLA,Long Closed,2012-02-14,2.12,2012-04-26,2.2,23629.0,49998.963,1890.32,3.781,Exit Trigger,72 days
5,TSLA,Long Closed,2012-07-05,2.05,2012-08-03,1.79,24342.0,49998.466,-6328.92,-12.658,Exit Trigger,29 days
6,TSLA,Long Closed,2012-10-01,1.97,2012-10-16,1.84,25423.0,49998.577,-3304.99,-6.61,Exit Trigger,15 days
7,TSLA,Long Closed,2012-11-14,2.13,2013-03-20,2.35,23466.0,49998.231,5162.52,10.325,Exit Trigger,126 days
8,TSLA,Long Closed,2013-04-01,2.82,2013-11-04,11.0,17705.0,49998.918,144826.9,289.66,Exit Trigger,217 days
9,TSLA,Long Closed,2014-01-02,9.99,2014-04-15,13.27,5006.0,49993.253,16419.68,32.844,Exit Trigger,103 days
10,TSLA,Long Closed,2014-06-16,13.78,2014-10-08,17.34,3627.0,49994.569,12912.12,25.827,Exit Trigger,114 days
11,TSLA,Long Closed,2014-11-25,16.49,2014-12-11,14.04,3032.0,49997.679,-7428.4,-14.857,Exit Trigger,16 days
12,TSLA,Long Closed,2015-02-23,14.38,2015-03-05,13.52,3477.0,49989.986,-2990.22,-5.982,Exit Trigger,10 days
13,TSLA,Long Closed,2015-04-23,14.55,2015-08-13,15.99,3436.0,49998.382,4947.84,9.896,Exit Trigger,112 days
14,TSLA,Long Closed,2015-09-28,17.16,2015-10-15,14.43,2914.0,49994.53,-7955.22,-15.912,Exit Trigger,17 days
15,TSLA,Long Closed,2015-12-10,14.98,2016-01-19,13.91,3337.0,49990.486,-3570.59,-7.143,Exit Trigger,40 days
16,TSLA,Long Closed,2016-03-16,14.53,2016-05-17,13.94,3440.0,49994.665,-2029.6,-4.06,Exit Trigger,62 days
17,TSLA,Long Closed,2016-07-26,15.18,2016-09-06,13.27,3293.0,49985.543,-6289.63,-12.583,Exit Trigger,42 days
18,TSLA,Long Closed,2016-12-22,13.88,2017-03-22,16.77,3601.0,49986.681,10406.89,20.819,Exit Trigger,90 days
19,TSLA,Long Closed,2017-04-03,19.13,2017-07-24,22.02,2614.0,49997.108,7554.46,15.11,Exit Trigger,112 days
20,TSLA,Long Closed,2017-08-24,23.5,2017-10-16,23.58,2127.0,49987.336,170.16,0.34,Exit Trigger,53 days
21,TSLA,Long Closed,2017-12-27,21.07,2018-03-06,22.25,2373.0,49991.202,2800.14,5.601,Exit Trigger,69 days
22,TSLA,Long Closed,2018-03-14,22.45,2018-03-19,21.1,2227.0,49997.634,-3006.45,-6.013,Exit Trigger,5 days
23,TSLA,Long Closed,2018-06-05,19.85,2018-06-06,20.03,2519.0,49993.753,453.42,0.907,Exit Trigger,1 days
24,TSLA,Long Closed,2018-06-07,21.08,2018-06-11,21.5,2372.0,49993.856,996.24,1.993,Exit Trigger,4 days
25,TSLA,Long Closed,2018-06-13,23.11,2018-07-30,19.73,2163.0,49995.583,-7310.94,-14.623,Exit Trigger,47 days
26,TSLA,Long Closed,2018-08-23,21.28,2018-09-07,17.34,2350.0,49998.598,-9259.0,-18.519,Exit Trigger,15 days
27,TSLA,Long Closed,2018-11-06,22.6,2019-01-07,21.45,2211.0,49978.92,-2542.65,-5.087,Exit Trigger,62 days
28,TSLA,Long Closed,2019-07-08,15.42,2019-08-21,14.8,3243.0,49994.089,-2010.66,-4.022,Exit Trigger,44 days
29,TSLA,Long Closed,2019-09-26,15.38,2020-03-20,29.21,3251.0,49991.709,44961.33,89.938,Exit Trigger,176 days
30,TSLA,Long Closed,2020-04-29,52.68,2020-11-16,136.31,949.0,49991.423,79364.87,158.757,Exit Trigger,201 days
31,TSLA,Long Closed,2020-11-24,180.13,2021-03-04,218.6,277.0,49896.933,10656.19,21.356,Exit Trigger,100 days
32,TSLA,Long Closed,2021-04-27,239.32,2021-05-18,189.33,208.0,49778.562,-10397.92,-20.888,Exit Trigger,21 days
33,TSLA,Long Closed,2021-07-06,227.24,2021-12-22,321.89,220.0,49992.066,20823.0,41.653,Exit Trigger,169 days
34,TSLA,Long Closed,2022-01-20,336.58,2022-01-27,311.12,148.0,49813.346,-3768.08,-7.564,Exit Trigger,7 days
35,TSLA,Long Closed,2022-03-30,363.72,2022-05-10,273.1,137.0,49830.096,-12414.94,-24.915,Exit Trigger,41 days
36,TSLA,Long Closed,2022-07-21,255.11,2022-09-30,266.15,195.0,49745.801,2152.8,4.328,Exit Trigger,71 days
37,TSLA,Long Closed,2023-02-08,196.1,2023-04-03,199.91,254.0,49809.402,967.74,1.943,Exit Trigger,54 days
38,TSLA,Long Closed,2023-06-05,217.8,2023-08-16,228.02,229.0,49876.201,2340.38,4.692,Exit Trigger,72 days
